City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Albany,US,2021-07-28 02:53:52,42.6001,-73.9662,67.08,93,100,3.0
143,Rio Tercero,AR,2021-07-28 02:53:53,-32.173,-64.1141,32.49,38,81,13.62
144,Baturaja,ID,2021-07-28 02:53:53,-4.1333,104.1667,83.8,50,55,4.59
145,Xinzhi,CN,2021-07-28 02:53:53,36.4989,111.7047,81.82,61,100,1.66
146,Katsuura,JP,2021-07-28 02:53:54,35.1333,140.3,86.14,76,100,19.1
147,Torbay,CA,2021-07-28 02:51:14,47.6666,-52.7314,66.97,95,90,10.36
148,Kachug,RU,2021-07-28 02:53:54,53.9606,105.8817,77.88,42,10,3.65
149,Lavrentiya,RU,2021-07-28 02:51:26,65.5833,-171.0,44.1,99,100,10.11
150,Ugoofaaru,MV,2021-07-28 02:53:55,5.6667,73.0,82.62,75,72,13.91
151,Sarahan,IN,2021-07-28 02:53:55,31.5167,77.8,67.53,97,100,3.65
152,Grindavik,IS,2021-07-28 02:53:56,63.8424,-22.4338,50.56,93,0,13.8
153,Barahona,DO,2021-07-28 02:53:56,18.2085,-71.1008,79.56,82,22,3.04
154,Touros,BR,2021-07-28 02:52:13,-5.1989,-35.4608,74.3,89,13,10.78
155,Broome,US,2021-07-28 02:53:57,42.2506,-75.833,67.55,97,90,1.01
156,La Massana,AD,2021-07-28 02:53:57,42.5667,1.4833,53.85,91,62,1.79
157,Maceio,BR,2021-07-28 02:53:57,-9.6658,-35.7353,72.84,100,20,3.44
158,Bethel,US,2021-07-28 02:52:42,41.3712,-73.414,75.76,86,90,0.0
159,Alta Floresta,BR,2021-07-28 02:52:14,-9.8756,-56.0861,72.03,44,3,3.29
160,Kanniyakumari,IN,2021-07-28 02:53:58,8.0833,77.5667,80.1,79,100,17.87
161,La Romana,DO,2021-07-28 02:53:59,18.4273,-68.9728,82.13,88,20,11.5
162,Gornozavodsk,RU,2021-07-28 02:53:59,58.3758,58.3211,45.75,93,100,9.01
163,Zhashkiv,UA,2021-07-28 02:53:59,49.2454,30.1102,64.9,76,100,6.91
164,Tasiilaq,GL,2021-07-28 02:53:30,65.6145,-37.6368,36.27,79,22,7.31
165,Harrisonburg,US,2021-07-28 02:54:00,38.4496,-78.8689,76.41,66,75,6.91
166,Saint George,US,2021-07-28 02:54:00,37.1041,-113.5841,91.99,29,1,1.01
167,Abeche,TD,2021-07-28 02:54:01,13.8292,20.8324,75.81,80,100,2.13
168,Krasnokamensk,RU,2021-07-28 02:54:01,50.0979,118.0369,74.12,60,13,7.67
169,Port Hedland,AU,2021-07-28 02:54:02,-20.3167,118.5667,80.65,57,26,5.75
170,Nampa,US,2021-07-28 02:51:29,43.5407,-116.5635,96.19,30,1,13.8
171,Kavaratti,IN,2021-07-28 02:54:02,10.5669,72.642,81.59,78,100,19.73
172,Staunton,US,2021-07-28 02:53:28,38.1496,-79.0717,76.68,69,90,1.01
173,Dolores,AR,2021-07-28 02:54:03,-36.3132,-57.6792,42.84,83,91,14.38
174,Meulaboh,ID,2021-07-28 02:51:14,4.1363,96.1285,82.92,73,53,1.1
175,Te Anau,NZ,2021-07-28 02:54:03,-45.4167,167.7167,52.32,70,93,3.0
176,Okha,RU,2021-07-28 02:52:00,53.5739,142.9478,70.56,85,100,0.92
177,Wajima,JP,2021-07-28 02:54:04,37.4,136.9,83.08,69,75,5.75
178,Puerto Asis,CO,2021-07-28 02:54:04,0.5133,-76.5007,70.75,98,63,1.7
179,Grand Gaube,MU,2021-07-28 02:53:23,-20.0064,57.6608,67.37,91,95,10.0
180,Cap Malheureux,MU,2021-07-28 02:54:05,-19.9842,57.6142,67.46,91,97,10.0
181,Cascais,PT,2021-07-28 02:54:05,38.6979,-9.4215,66.61,75,0,5.01
182,Namatanai,PG,2021-07-28 02:54:06,-3.6667,152.4333,84.83,67,25,4.99
183,Yurla,RU,2021-07-28 02:54:06,59.3259,54.3223,46.92,91,99,7.83
184,Hegang,CN,2021-07-28 02:54:07,47.4,130.3667,93.33,42,38,6.13
185,Nyirbator,HU,2021-07-28 02:54:07,47.8333,22.1333,67.44,59,27,7.05
186,Saldanha,ZA,2021-07-28 02:52:22,-33.0117,17.9442,53.65,65,100,5.46
187,Carballo,ES,2021-07-28 02:54:08,43.213,-8.691,64.09,91,66,4.47
188,Faanui,PF,2021-07-28 02:53:13,-16.4833,-151.75,77.81,75,63,8.3
189,Sassandra,CI,2021-07-28 02:54:09,4.95,-6.0833,74.37,85,53,7.34
190,Antofagasta,CL,2021-07-28 02:53:10,-23.65,-70.4,54.68,74,35,5.91
191,Provideniya,RU,2021-07-28 02:54:09,64.3833,-173.3,50.11,81,90,22.37
192,Flin Flon,CA,2021-07-28 02:54:10,54.7682,-101.865,64.96,66,6,4.68
193,Twin Falls,US,2021-07-28 02:54:10,42.3505,-114.6445,86.34,30,75,11.5
194,Neiafu,TO,2021-07-28 02:53:48,-18.65,-173.9833,77.68,83,90,4.61
195,Mayo,US,2021-07-28 02:49:50,38.8876,-76.5119,81.57,88,1,0.0
196,Lagoa,PT,2021-07-28 02:51:42,39.05,-27.9833,69.8,91,90,7.43
197,Thongwa,MM,2021-07-28 02:54:11,16.7619,96.5278,78.96,73,100,11.41
198,Senador Jose Porfirio,BR,2021-07-28 02:54:12,-2.5908,-51.9542,75.6,71,8,2.24
199,Saurimo,AO,2021-07-28 02:54:12,-9.6608,20.3916,50.83,42,52,5.17
200,Clyde River,CA,2021-07-28 02:52:45,70.4692,-68.5914,43.03,87,90,6.91
201,Stephenville,US,2021-07-28 02:54:13,32.2207,-98.2023,86.79,63,79,1.99
