City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1183,Bath,GB,58.57,broken clouds,51.3779,-2.3591,Francis Hotel Bath - MGallery
1186,Iquique,CL,59.04,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
1187,Lasa,IT,51.03,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
1202,Ahipara,NZ,57.96,clear sky,-35.1667,173.1667,Ahipara Holiday Park
1203,Tupik,RU,51.39,overcast clouds,54.4253,119.9327,Guest House Orkhideya
1204,Wageningen,NL,57.94,overcast clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
1207,Melbu,NO,49.32,overcast clouds,68.5044,14.8297,Melbu Hotel
1209,Moron,AR,48.99,mist,-34.6534,-58.6198,Hotel Morón
1224,Parabel,RU,56.95,overcast clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
1228,Husavik,IS,53.19,light rain,66.0449,-17.3389,Bjarnabúð
1229,Kokemaki,FI,58.78,overcast clouds,61.2565,22.3564,Kartano Hostel
1230,Bilibino,RU,47.75,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
1236,Lovozero,RU,52.32,broken clouds,68.005,35.0117,Country house Lovozero
1238,Qaqortoq,GL,55.9,light rain,60.7167,-46.0333,Hotel Qaqortoq
1240,Tapiramuta,BR,54.39,scattered clouds,-11.8472,-40.7914,Casa Alencar
1245,Heilbron,ZA,43.59,clear sky,-27.2812,27.9709,Guest house
1247,Skibbereen,IE,53.4,overcast clouds,51.55,-9.2667,The West Cork Hotel
1248,Kristiansund,NO,50.05,overcast clouds,63.1115,7.732,Thon Hotels Storgata
1262,Masvingo,ZW,51.71,clear sky,-20.0637,30.8277,River Side Lodge
1266,Velsk,RU,56.61,scattered clouds,61.0701,42.0983,Zhemchuzhina Severa
1282,Opunake,NZ,58.33,overcast clouds,-39.4556,173.8583,Walton Cottage
1284,Chimoio,MZ,53.55,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
1285,Raudeberg,NO,52.47,few clouds,61.9875,5.1352,Nordre Silda.
1296,Port-Cartier,CA,58.75,overcast clouds,50.0334,-66.8654,Le Q'Artier
1304,Qasigiannguit,GL,57.45,clear sky,68.8193,-51.1922,Hotel Diskobay
1307,Kiruna,SE,40.12,overcast clouds,67.8557,20.2251,Camp Ripan
1315,Leeton,AU,55.89,clear sky,-34.5667,146.4,Historic Hydro Motor Inn
1321,Lujan,AR,49.01,clear sky,-34.5703,-59.105,Hotel Biarritz
